block_id,kernel,log_loss,matching,target_delay_s,task,top1_accuracy,trials,centre_s,separation_s
11,linear_erlang_v1,0.0,unit_peak,,two_cue_temporal_order,1.0,64,40.0,10.0
0,abstract_gamma_k3,1.16990524093891,unit_peak,2.5,four_event_interval_attribution,0.65625,64,,
1,abstract_gamma_k3,1.0186909909629027,unit_peak,7.5,four_event_interval_attribution,0.890625,64,,
2,abstract_gamma_k3,1.2877224896589963,unit_peak,12.5,four_event_interval_attribution,0.578125,64,,
3,abstract_gamma_k3,1.4481093001441012,unit_peak,17.5,four_event_interval_attribution,0.34375,64,,
4,abstract_gamma_k3,1.47624666485703,unit_peak,22.5,four_event_interval_attribution,0.359375,64,,
5,abstract_gamma_k3,1.489881431688449,unit_peak,27.5,four_event_interval_attribution,0.140625,64,,
6,abstract_gamma_k3,1.490815173976808,unit_peak,35.0,four_event_interval_attribution,0.046875,64,,
7,abstract_gamma_k3,1.485294760206162,unit_peak,45.0,four_event_interval_attribution,0.0,64,,
0,abstract_gamma_k3,0.0,unit_peak,,two_cue_temporal_order,1.0,64,10.0,2.0
1,abstract_gamma_k3,0.0,unit_peak,,two_cue_temporal_order,1.0,64,10.0,6.0
2,abstract_gamma_k3,0.0,unit_peak,,two_cue_temporal_order,1.0,64,10.0,10.0
3,abstract_gamma_k3,0.0,unit_peak,,two_cue_temporal_order,1.0,64,20.0,2.0
4,abstract_gamma_k3,0.0,unit_peak,,two_cue_temporal_order,1.0,64,20.0,6.0
5,abstract_gamma_k3,0.0,unit_peak,,two_cue_temporal_order,1.0,64,20.0,10.0
6,abstract_gamma_k3,0.0,unit_peak,,two_cue_temporal_order,1.0,64,30.0,2.0
7,abstract_gamma_k3,0.0,unit_peak,,two_cue_temporal_order,1.0,64,30.0,6.0
8,abstract_gamma_k3,0.0,unit_peak,,two_cue_temporal_order,1.0,64,30.0,10.0
9,abstract_gamma_k3,1.2780207142536032e-09,unit_peak,,two_cue_temporal_order,1.0,64,40.0,2.0
10,abstract_gamma_k3,0.0,unit_peak,,two_cue_temporal_order,1.0,64,40.0,6.0
11,abstract_gamma_k3,0.0,unit_peak,,two_cue_temporal_order,1.0,64,40.0,10.0
0,post_peak_decay_matched_exponential,0.907623894359556,unit_peak,2.5,four_event_interval_attribution,0.9375,64,,
1,post_peak_decay_matched_exponential,1.054973050274894,unit_peak,7.5,four_event_interval_attribution,0.734375,64,,
2,post_peak_decay_matched_exponential,1.2473537209161456,unit_peak,12.5,four_event_interval_attribution,0.4375,64,,
3,post_peak_decay_matched_exponential,1.3524847952124455,unit_peak,17.5,four_event_interval_attribution,0.328125,64,,
4,post_peak_decay_matched_exponential,1.4197496197751183,unit_peak,22.5,four_event_interval_attribution,0.328125,64,,
5,post_peak_decay_matched_exponential,1.4797894313054,unit_peak,27.5,four_event_interval_attribution,0.140625,64,,
6,post_peak_decay_matched_exponential,1.5961171774942091,unit_peak,35.0,four_event_interval_attribution,0.03125,64,,
7,post_peak_decay_matched_exponential,1.6147053986698248,unit_peak,45.0,four_event_interval_attribution,0.0,64,,
0,post_peak_decay_matched_exponential,0.0,unit_peak,,two_cue_temporal_order,1.0,64,10.0,2.0
1,post_peak_decay_matched_exponential,0.0,unit_peak,,two_cue_temporal_order,1.0,64,10.0,6.0
2,post_peak_decay_matched_exponential,0.0,unit_peak,,two_cue_temporal_order,1.0,64,10.0,10.0
3,post_peak_decay_matched_exponential,0.0,unit_peak,,two_cue_temporal_order,1.0,64,20.0,2.0
4,post_peak_decay_matched_exponential,0.0,unit_peak,,two_cue_temporal_order,1.0,64,20.0,6.0
5,post_peak_decay_matched_exponential,0.0,unit_peak,,two_cue_temporal_order,1.0,64,20.0,10.0
6,post_peak_decay_matched_exponential,8.309325449928927e-16,unit_peak,,two_cue_temporal_order,1.0,64,30.0,2.0
7,post_peak_decay_matched_exponential,0.0,unit_peak,,two_cue_temporal_order,1.0,64,30.0,6.0
8,post_peak_decay_matched_exponential,0.0,unit_peak,,two_cue_temporal_order,1.0,64,30.0,10.0
9,post_peak_decay_matched_exponential,2.0143281434630425e-09,unit_peak,,two_cue_temporal_order,1.0,64,40.0,2.0
10,post_peak_decay_matched_exponential,0.0,unit_peak,,two_cue_temporal_order,1.0,64,40.0,6.0
11,post_peak_decay_matched_exponential,0.0,unit_peak,,two_cue_temporal_order,1.0,64,40.0,10.0
0,physical_headroom_v1,1.862165722687511,unit_l1,2.5,four_event_interval_attribution,0.0,64,,
1,physical_headroom_v1,1.4512951350436945,unit_l1,7.5,four_event_interval_attribution,0.078125,64,,
2,physical_headroom_v1,1.180421739544803,unit_l1,12.5,four_event_interval_attribution,0.375,64,,
3,physical_headroom_v1,1.0564351294077494,unit_l1,17.5,four_event_interval_attribution,0.921875,64,,
4,physical_headroom_v1,1.037878983365987,unit_l1,22.5,four_event_interval_attribution,0.890625,64,,
5,physical_headroom_v1,1.1348377373038392,unit_l1,27.5,four_event_interval_attribution,0.59375,64,,
6,physical_headroom_v1,1.3315723796988186,unit_l1,35.0,four_event_interval_attribution,0.1875,64,,
