amplitude,bias,candidate,held_out_group,nrmse,offset,trial
1.223379234843113e-07,1.2,linear_k5,1.2,0.01980012669466436,1.1789869764655836e-07,1
1.340994505901385e-07,1.2,linear_k5,1.2,0.014814151836677489,1.1049087352039877e-07,2
1.2958360213875187e-07,1.2,linear_k5,1.2,0.02087112384766018,1.0714116249608707e-07,3
3.452886646107573e-07,1.4,kww,1.4,0.05354659875879445,2.0239751297446912e-07,1
3.9559461351391264e-07,1.4,kww,1.4,0.05989084006172009,2.1257696238340073e-07,2
4.2499840325032924e-07,1.4,kww,1.4,0.06538716144782346,2.2552319805874256e-07,3
1.799237285688694e-07,1.4,physical_k2,1.4,0.148969968994305,1.1835997165175207e-07,1
1.6663318761353894e-07,1.4,physical_k2,1.4,0.15415894392327287,1.555476386527661e-07,2
1.565399982067869e-07,1.4,physical_k2,1.4,0.153631038077489,1.865206496863525e-07,3
1.681050366355972e-07,1.4,physical_k3,1.4,0.14896357548515118,1.3019678442003122e-07,1
1.5388510091168358e-07,1.4,physical_k3,1.4,0.15417953254330594,1.6829842493213164e-07,2
1.4256213025848862e-07,1.4,physical_k3,1.4,0.15366722769220617,2.0048599973116038e-07,3
1.6963464183137178e-07,1.4,physical_k4,1.4,0.1488699382404381,1.297424048852098e-07,1
1.5731925491109948e-07,1.4,physical_k4,1.4,0.15409060672752775,1.6587599632733907e-07,2
1.4749914893159187e-07,1.4,physical_k4,1.4,0.15358419942372475,1.965109833468469e-07,3
2.1906356932260762e-07,1.4,physical_k5,1.4,0.14884508281604814,1.3076661020806074e-07,1
2.0386535142028712e-07,1.4,physical_k5,1.4,0.15406662357114925,1.6628983305811347e-07,2
1.9169624697151248e-07,1.4,physical_k5,1.4,0.15356176867940083,1.9647678101190827e-07,3
3.5255102624559904e-07,1.4,linear_k2,1.4,0.050015391123120194,2.0099785210957735e-07,1
4.0549952898965827e-07,1.4,linear_k2,1.4,0.055156542378951734,2.10531904180696e-07,2
4.369262994958567e-07,1.4,linear_k2,1.4,0.06030059228853747,2.229878084611691e-07,3
3.499340995570895e-07,1.4,linear_k3,1.4,0.05050561249601826,2.0134533837117846e-07,1
4.0186974376470193e-07,1.4,linear_k3,1.4,0.0562035639181606,2.111041378064092e-07,2
4.325441932416807e-07,1.4,linear_k3,1.4,0.06158248245377329,2.2372969442105254e-07,3
3.4803136097854194e-07,1.4,linear_k4,1.4,0.05175306428513516,2.0188625024540378e-07,1
3.991910570249153e-07,1.4,linear_k4,1.4,0.05782042155417583,2.1186325941797683e-07,2
4.29247604339886e-07,1.4,linear_k4,1.4,0.06330356627222346,2.2465581491309713e-07,3
3.464347836104541e-07,1.4,linear_k5,1.4,0.05274966315213781,2.0228121848165182e-07,1
3.9702708752366994e-07,1.4,linear_k5,1.4,0.059040714829914125,2.1240944598499297e-07,2
