condition,seed,eta,aulc
abstract,1007,0.01,0.9944
abstract,1008,0.01,0.9948
abstract,1009,0.01,0.9936
abstract,1010,0.01,0.9948
abstract,1011,0.01,0.9932
abstract,1012,0.01,0.9928
abstract,1013,0.01,0.9944
abstract,1014,0.01,0.9936
abstract,1015,0.01,0.9944
abstract,1016,0.01,0.9948
abstract,1017,0.01,0.9908
abstract,1018,0.01,0.9968
abstract,1019,0.01,0.9932
abstract,1000,0.03,0.9756
abstract,1001,0.03,0.978
abstract,1002,0.03,0.9808
abstract,1003,0.03,0.9788
abstract,1004,0.03,0.9788
abstract,1005,0.03,0.98
abstract,1006,0.03,0.9748
abstract,1007,0.03,0.978
abstract,1008,0.03,0.9752
abstract,1009,0.03,0.978
abstract,1010,0.03,0.992
abstract,1011,0.03,0.9792
abstract,1012,0.03,0.982
abstract,1013,0.03,0.9916
abstract,1014,0.03,0.976
abstract,1015,0.03,0.9764
abstract,1016,0.03,0.9804
abstract,1017,0.03,0.9792
abstract,1018,0.03,0.978
abstract,1019,0.03,0.9776
abstract,1000,0.1,0.9944
abstract,1001,0.1,0.998
abstract,1002,0.1,0.9968
abstract,1003,0.1,0.9976
abstract,1004,0.1,0.9968
abstract,1005,0.1,0.998
abstract,1006,0.1,0.9964
abstract,1007,0.1,0.9968
abstract,1008,0.1,0.9964
abstract,1009,0.1,0.9992
abstract,1010,0.1,0.9964
abstract,1011,0.1,0.9988
abstract,1012,0.1,0.9984
abstract,1013,0.1,0.9976
abstract,1014,0.1,0.9976
abstract,1015,0.1,0.9968
abstract,1016,0.1,0.9992
abstract,1017,0.1,0.9984
abstract,1018,0.1,0.996
abstract,1019,0.1,0.998
abstract,1000,0.3,0.5344
abstract,1001,0.3,0.5376
abstract,1002,0.3,0.5384
abstract,1003,0.3,0.548
abstract,1004,0.3,0.534
abstract,1005,0.3,0.5336
abstract,1006,0.3,0.5296
abstract,1007,0.3,0.66
abstract,1008,0.3,0.5352
abstract,1009,0.3,0.528
abstract,1010,0.3,0.524
abstract,1011,0.3,0.7528
abstract,1012,0.3,0.5472
abstract,1013,0.3,0.7436
abstract,1014,0.3,0.5284
abstract,1015,0.3,0.53
abstract,1016,0.3,0.5312
abstract,1017,0.3,0.5316
abstract,1018,0.3,0.5328
abstract,1019,0.3,0.5276
abstract,1000,1.0,0.5084
abstract,1001,1.0,0.5156
abstract,1002,1.0,0.5144
abstract,1003,1.0,0.49
abstract,1004,1.0,0.4908
abstract,1005,1.0,0.5044
abstract,1006,1.0,0.5052
abstract,1007,1.0,0.5116
abstract,1008,1.0,0.4996
abstract,1009,1.0,0.5052
abstract,1010,1.0,0.5064
abstract,1011,1.0,0.516
abstract,1012,1.0,0.4872
abstract,1013,1.0,0.4952
abstract,1014,1.0,0.5056
abstract,1015,1.0,0.4868
abstract,1016,1.0,0.5
abstract,1017,1.0,0.5052
abstract,1018,1.0,0.5024
abstract,1019,1.0,0.484
abstract,1000,3.0,0.496
abstract,1001,3.0,0.5084
abstract,1002,3.0,0.5032
abstract,1003,3.0,0.4716
abstract,1004,3.0,0.506
abstract,1005,3.0,0.756
abstract,1006,3.0,0.5028
abstract,1007,3.0,0.5092
abstract,1008,3.0,0.502
abstract,1009,3.0,0.5052
abstract,1010,3.0,0.5136
abstract,1011,3.0,0.504
abstract,1012,3.0,0.4864
abstract,1013,3.0,0.5024
abstract,1014,3.0,0.5056
abstract,1015,3.0,0.486
abstract,1016,3.0,0.5016
abstract,1017,3.0,0.5036
abstract,1018,3.0,0.4992
abstract,1019,3.0,0.488
abstract,1000,10.0,0.496
abstract,1001,10.0,0.5084
abstract,1002,10.0,0.5032
abstract,1003,10.0,0.4716
abstract,1004,10.0,0.506
abstract,1005,10.0,0.756
abstract,1006,10.0,0.5028
abstract,1007,10.0,0.5092
abstract,1008,10.0,0.502
abstract,1009,10.0,0.5092
abstract,1010,10.0,0.5056
abstract,1011,10.0,0.504
abstract,1012,10.0,0.4864
abstract,1013,10.0,0.4888
abstract,1014,10.0,0.5072
abstract,1015,10.0,0.4956
abstract,1016,10.0,0.5016
abstract,1017,10.0,0.5036
abstract,1018,10.0,0.4992
abstract,1019,10.0,0.488
