mouse_id,group,block,trial_start,trial_stop,baseline_corrected_preparatory_lick_hz
10,stimLick-,7,601,700,2.275696617998183
10,stimLick-,8,701,800,2.528866921700537
14,stimLick-,1,1,100,-0.046619961310207146
14,stimLick-,2,101,200,0.29289621193689525
14,stimLick-,3,201,300,0.6007053421624005
14,stimLick-,4,301,400,0.9277372822194593
14,stimLick-,5,401,500,2.3982911098501063
14,stimLick-,6,501,600,2.180314318421297
14,stimLick-,7,601,700,3.989157232659054
14,stimLick-,8,701,800,4.304096018392593
18,stimLick-,1,1,100,0.17461882482370128
18,stimLick-,2,101,200,-0.04743021525311633
18,stimLick-,3,201,300,0.39436823999436454
18,stimLick-,4,301,400,0.7576448141547735
18,stimLick-,5,401,500,0.9872208963108278
18,stimLick-,6,501,600,2.06827410761427
18,stimLick-,7,601,700,2.4379810095811263
18,stimLick-,8,701,800,1.2556395921198418
20,stimLick-,1,1,100,0.14176634283270687
20,stimLick-,2,101,200,0.28922345498285723
20,stimLick-,3,201,300,1.3306927280209493
20,stimLick-,4,301,400,0.3244673377512663
20,stimLick-,5,401,500,0.023117949799634517
20,stimLick-,6,501,600,0.07964804662391543
20,stimLick-,7,601,700,0.13953090590715875
20,stimLick-,8,701,800,0.2971653593471274
7,stimLick+,1,1,100,-0.1837497911356695
7,stimLick+,2,101,200,0.15183707235075417
7,stimLick+,3,201,300,0.527878945027187
7,stimLick+,4,301,400,0.17003222030878531
7,stimLick+,5,401,500,0.054214308353257364
7,stimLick+,6,501,600,0.12293581534686382
7,stimLick+,7,601,700,0.07006728058040608
7,stimLick+,8,701,800,0.28014213460191967
8,stimLick+,1,1,100,-0.008667988823726774
8,stimLick+,2,101,200,-0.0026358758361311628
8,stimLick+,3,201,300,0.1307532840280328
8,stimLick+,4,301,400,-0.11300280027193367
8,stimLick+,5,401,500,-0.07251413177931681
8,stimLick+,6,501,600,0.019343044117558748
8,stimLick+,7,601,700,-0.14030420119808695
8,stimLick+,8,701,800,-0.1424850196368061
12,stimLick+,1,1,100,0.27880090315054984
12,stimLick+,2,101,200,0.04724452007096261
12,stimLick+,3,201,300,0.5598396473894536
12,stimLick+,4,301,400,1.511080963551649
12,stimLick+,5,401,500,1.6267407663661289
12,stimLick+,6,501,600,2.040194602380507
12,stimLick+,7,601,700,3.4140110251982696
12,stimLick+,8,701,800,3.0340165109513326
13,stimLick+,1,1,100,-0.0932862771920918
13,stimLick+,2,101,200,0.4469808014921728
13,stimLick+,3,201,300,0.3616230112884659
13,stimLick+,4,301,400,0.8428134228361887
13,stimLick+,5,401,500,0.5713845681311795
13,stimLick+,6,501,600,0.260486355307221
13,stimLick+,7,601,700,0.7428618542850017
13,stimLick+,8,701,800,1.0481814435846173
17,stimLick+,1,1,100,0.10495069150605559
17,stimLick+,2,101,200,0.22788185995894308
17,stimLick+,3,201,300,0.3976110506121768
17,stimLick+,4,301,400,0.1415614459756762
17,stimLick+,5,401,500,0.18511639292992185
17,stimLick+,6,501,600,0.5127288663981017
17,stimLick+,7,601,700,0.32471755304766703
17,stimLick+,8,701,800,0.18115395923843608
