model_id,eta,condition,seed,selectivity
linear_erlang_v1,0.1,device,14,3.645696659673986
linear_erlang_v1,0.1,device,15,3.6499207453101166
linear_erlang_v1,0.1,device,16,3.6415296335881684
linear_erlang_v1,0.1,device,17,3.618741576939948
linear_erlang_v1,0.1,device,18,3.6724985418448206
linear_erlang_v1,0.1,device,19,3.6354450472114075
linear_erlang_v1,0.1,matched_exponential,0,0.7151071758922066
linear_erlang_v1,0.1,matched_exponential,1,0.7309004653481972
linear_erlang_v1,0.1,matched_exponential,2,0.7122505323151089
linear_erlang_v1,0.1,matched_exponential,3,0.7001204659347374
linear_erlang_v1,0.1,matched_exponential,4,0.728035744507198
linear_erlang_v1,0.1,matched_exponential,5,0.7092359463660729
linear_erlang_v1,0.1,matched_exponential,6,0.7313947324686983
linear_erlang_v1,0.1,matched_exponential,7,0.7193466725360993
linear_erlang_v1,0.1,matched_exponential,8,0.7380621556580623
linear_erlang_v1,0.1,matched_exponential,9,0.698613143948191
linear_erlang_v1,0.1,matched_exponential,10,0.7197825771834294
linear_erlang_v1,0.1,matched_exponential,11,0.7272407634045799
linear_erlang_v1,0.1,matched_exponential,12,0.7309460967971109
linear_erlang_v1,0.1,matched_exponential,13,0.7232194707523126
linear_erlang_v1,0.1,matched_exponential,14,0.7316810051618189
linear_erlang_v1,0.1,matched_exponential,15,0.7253853280137745
linear_erlang_v1,0.1,matched_exponential,16,0.7217449471930786
linear_erlang_v1,0.1,matched_exponential,17,0.7603451135282303
linear_erlang_v1,0.1,matched_exponential,18,0.698591096842946
linear_erlang_v1,0.1,matched_exponential,19,0.7320602339020519
linear_erlang_v1,0.5,device,0,3.4295221082788467
linear_erlang_v1,0.5,device,1,3.580238184714926
linear_erlang_v1,0.5,device,2,3.4605547862323465
linear_erlang_v1,0.5,device,3,3.569693947349906
linear_erlang_v1,0.5,device,4,3.6279506707481257
linear_erlang_v1,0.5,device,5,3.3988323962962985
linear_erlang_v1,0.5,device,6,3.6518990450668896
linear_erlang_v1,0.5,device,7,3.6889249328819984
linear_erlang_v1,0.5,device,8,3.6769599356139024
linear_erlang_v1,0.5,device,9,3.64925968683379
linear_erlang_v1,0.5,device,10,3.6288342230390263
linear_erlang_v1,0.5,device,11,3.591229281229876
linear_erlang_v1,0.5,device,12,3.6004397309469987
linear_erlang_v1,0.5,device,13,3.60859252481352
linear_erlang_v1,0.5,device,14,3.5688451536147343
linear_erlang_v1,0.5,device,15,3.6524692199160684
linear_erlang_v1,0.5,device,16,3.5656060845466837
linear_erlang_v1,0.5,device,17,3.43699875157407
linear_erlang_v1,0.5,device,18,3.672197608608195
linear_erlang_v1,0.5,device,19,3.5335124244226916
linear_erlang_v1,0.5,matched_exponential,0,0.7034944784708028
linear_erlang_v1,0.5,matched_exponential,1,0.6941089645432925
linear_erlang_v1,0.5,matched_exponential,2,0.706385727655466
linear_erlang_v1,0.5,matched_exponential,3,0.7117216126034289
linear_erlang_v1,0.5,matched_exponential,4,0.7928666881259248
linear_erlang_v1,0.5,matched_exponential,5,0.6876614983443466
linear_erlang_v1,0.5,matched_exponential,6,0.7534514900425455
linear_erlang_v1,0.5,matched_exponential,7,0.7001128426694342
linear_erlang_v1,0.5,matched_exponential,8,0.7317028276266461
linear_erlang_v1,0.5,matched_exponential,9,0.6564694956060515
linear_erlang_v1,0.5,matched_exponential,10,0.7635104769492481
linear_erlang_v1,0.5,matched_exponential,11,0.7889725130467894
linear_erlang_v1,0.5,matched_exponential,12,0.7507448286994157
linear_erlang_v1,0.5,matched_exponential,13,0.719457535290168
linear_erlang_v1,0.5,matched_exponential,14,0.80699918808845
linear_erlang_v1,0.5,matched_exponential,15,0.67249955282234
linear_erlang_v1,0.5,matched_exponential,16,0.7356084900130309
linear_erlang_v1,0.5,matched_exponential,17,0.8021579003505119
linear_erlang_v1,0.5,matched_exponential,18,0.7007403856242933
linear_erlang_v1,0.5,matched_exponential,19,0.7495335508218809
