condition,seed,eta,aulc,final_reward
linear_device,1014,0.3,0.14666666666666667,0.17
linear_device,1015,0.3,0.15,0.13
linear_device,1016,0.3,0.13666666666666666,0.12
linear_device,1017,0.3,0.13,0.12
linear_device,1018,0.3,0.1,0.1
linear_device,1019,0.3,0.11333333333333333,0.12
linear_device,1000,1.0,0.07333333333333333,0.08
linear_device,1001,1.0,0.07,0.08
linear_device,1002,1.0,0.07,0.09
linear_device,1003,1.0,0.1,0.1
linear_device,1004,1.0,0.06,0.07
linear_device,1005,1.0,0.06666666666666667,0.08
linear_device,1006,1.0,0.08,0.06
linear_device,1007,1.0,0.06333333333333334,0.08
linear_device,1008,1.0,0.08,0.1
linear_device,1009,1.0,0.07,0.08
linear_device,1010,1.0,0.07,0.07
linear_device,1011,1.0,0.11,0.12
linear_device,1012,1.0,0.06666666666666667,0.08
linear_device,1013,1.0,0.06,0.08
linear_device,1014,1.0,0.08,0.07
linear_device,1015,1.0,0.07666666666666666,0.07
linear_device,1016,1.0,0.06,0.06
linear_device,1017,1.0,0.06666666666666667,0.07
linear_device,1018,1.0,0.08333333333333333,0.07
linear_device,1019,1.0,0.08333333333333333,0.05
linear_device,1000,3.0,0.056666666666666664,0.04
linear_device,1001,3.0,0.09666666666666666,0.06
linear_device,1002,3.0,0.043333333333333335,0.06
linear_device,1003,3.0,0.06333333333333334,0.1
linear_device,1004,3.0,0.07,0.07
linear_device,1005,3.0,0.056666666666666664,0.05
linear_device,1006,3.0,0.08666666666666667,0.07
linear_device,1007,3.0,0.08333333333333333,0.1
linear_device,1008,3.0,0.056666666666666664,0.08
linear_device,1009,3.0,0.06,0.04
linear_device,1010,3.0,0.08,0.13
linear_device,1011,3.0,0.12333333333333334,0.13
linear_device,1012,3.0,0.08666666666666667,0.12
linear_device,1013,3.0,0.05333333333333334,0.08
linear_device,1014,3.0,0.06666666666666667,0.08
linear_device,1015,3.0,0.05333333333333334,0.06
linear_device,1016,3.0,0.05,0.06
linear_device,1017,3.0,0.06333333333333334,0.04
linear_device,1018,3.0,0.06666666666666667,0.08
linear_device,1019,3.0,0.04,0.04
linear_device,1000,10.0,0.056666666666666664,0.03
linear_device,1001,10.0,0.11,0.1
linear_device,1002,10.0,0.043333333333333335,0.06
linear_device,1003,10.0,0.056666666666666664,0.06
linear_device,1004,10.0,0.07666666666666666,0.06
linear_device,1005,10.0,0.07333333333333333,0.07
linear_device,1006,10.0,0.08,0.05
linear_device,1007,10.0,0.043333333333333335,0.03
linear_device,1008,10.0,0.05333333333333334,0.06
linear_device,1009,10.0,0.06333333333333334,0.07
linear_device,1010,10.0,0.06,0.08
linear_device,1011,10.0,0.12333333333333334,0.13
linear_device,1012,10.0,0.08,0.06
linear_device,1013,10.0,0.06333333333333334,0.11
linear_device,1014,10.0,0.06333333333333334,0.08
linear_device,1015,10.0,0.05333333333333334,0.06
linear_device,1016,10.0,0.05,0.07
linear_device,1017,10.0,0.06666666666666667,0.03
linear_device,1018,10.0,0.056666666666666664,0.04
linear_device,1019,10.0,0.05333333333333334,0.07
linear_device,1000,100.0,0.056666666666666664,0.03
linear_device,1001,100.0,0.11,0.1
linear_device,1002,100.0,0.043333333333333335,0.06
linear_device,1003,100.0,0.056666666666666664,0.06
linear_device,1004,100.0,0.07666666666666666,0.06
linear_device,1005,100.0,0.07333333333333333,0.07
linear_device,1006,100.0,0.08,0.05
linear_device,1007,100.0,0.04,0.02
linear_device,1008,100.0,0.05333333333333334,0.06
linear_device,1009,100.0,0.06333333333333334,0.07
linear_device,1010,100.0,0.07333333333333333,0.05
linear_device,1011,100.0,0.12333333333333334,0.13
linear_device,1012,100.0,0.08,0.06
linear_device,1013,100.0,0.04666666666666667,0.06
linear_device,1014,100.0,0.06333333333333334,0.08
linear_device,1015,100.0,0.05333333333333334,0.06
linear_device,1016,100.0,0.05,0.07
linear_device,1017,100.0,0.06666666666666667,0.03
linear_device,1018,100.0,0.056666666666666664,0.04
linear_device,1019,100.0,0.05333333333333334,0.07
exponential,1000,0.0001,0.08333333333333333,0.07
exponential,1001,0.0001,0.06,0.05
exponential,1002,0.0001,0.043333333333333335,0.05
exponential,1003,0.0001,0.06,0.05
exponential,1004,0.0001,0.09666666666666666,0.09
exponential,1005,0.0001,0.06333333333333334,0.02
exponential,1006,0.0001,0.07333333333333333,0.16
exponential,1007,0.0001,0.06333333333333334,0.07
exponential,1008,0.0001,0.06666666666666667,0.07
exponential,1009,0.0001,0.06333333333333334,0.09
exponential,1010,0.0001,0.08,0.02
exponential,1011,0.0001,0.06333333333333334,0.06
exponential,1012,0.0001,0.09,0.09
exponential,1013,0.0001,0.07333333333333333,0.05
exponential,1014,0.0001,0.11666666666666667,0.12
exponential,1015,0.0001,0.04666666666666667,0.04
exponential,1016,0.0001,0.07,0.09
exponential,1017,0.0001,0.05,0.05
exponential,1018,0.0001,0.06,0.02
exponential,1019,0.0001,0.07,0.1
exponential,1000,0.001,0.32,0.79
exponential,1001,0.001,0.2,0.4
exponential,1002,0.001,0.41333333333333333,0.91
exponential,1003,0.001,0.3333333333333333,0.74
exponential,1004,0.001,0.4,0.87
exponential,1005,0.001,0.37666666666666665,0.82
exponential,1006,0.001,0.4033333333333333,0.91
exponential,1007,0.001,0.43,0.89
exponential,1008,0.001,0.4,0.89
exponential,1009,0.001,0.41,0.84
exponential,1010,0.001,0.29333333333333333,0.65
exponential,1011,0.001,0.43333333333333335,0.91
exponential,1012,0.001,0.21666666666666667,0.44
exponential,1013,0.001,0.06333333333333334,0.13
exponential,1014,0.001,0.45,0.85
exponential,1015,0.001,0.09333333333333334,0.19
exponential,1016,0.001,0.5533333333333333,0.97
exponential,1017,0.001,0.3933333333333333,0.86
exponential,1018,0.001,0.4666666666666667,0.91
exponential,1019,0.001,0.31666666666666665,0.69
exponential,1000,0.01,0.5166666666666667,0.62
exponential,1001,0.01,0.41,0.52
exponential,1002,0.01,0.49,0.42
exponential,1003,0.01,0.64,0.75
exponential,1004,0.01,0.49333333333333335,0.59
exponential,1005,0.01,0.46,0.59
exponential,1006,0.01,0.5566666666666666,0.69
exponential,1007,0.01,0.5233333333333333,0.72
exponential,1008,0.01,0.52,0.63
exponential,1009,0.01,0.44666666666666666,0.37
exponential,1010,0.01,0.5333333333333333,0.63
exponential,1011,0.01,0.6133333333333333,0.72
exponential,1012,0.01,0.38,0.5
exponential,1013,0.01,0.5733333333333334,0.68
exponential,1014,0.01,0.44666666666666666,0.56
exponential,1015,0.01,0.6033333333333334,0.71
exponential,1016,0.01,0.4666666666666667,0.38
exponential,1017,0.01,0.63,0.73
exponential,1018,0.01,0.5933333333333334,0.72
exponential,1019,0.01,0.5366666666666666,0.63
exponential,1000,0.03,0.5666666666666667,0.7
exponential,1001,0.03,0.7533333333333333,1.0
exponential,1002,0.03,0.8266666666666667,1.0
exponential,1003,0.03,0.8166666666666667,1.0
exponential,1004,0.03,0.9133333333333333,1.0
exponential,1005,0.03,0.8433333333333334,1.0
exponential,1006,0.03,0.8433333333333334,1.0
exponential,1007,0.03,0.7933333333333333,0.96
exponential,1008,0.03,0.7133333333333334,0.94
exponential,1009,0.03,0.85,1.0
exponential,1010,0.03,0.8966666666666666,1.0
exponential,1011,0.03,0.8933333333333333,1.0
exponential,1012,0.03,0.69,1.0
exponential,1013,0.03,0.9066666666666666,1.0
exponential,1014,0.03,0.6433333333333333,0.87
exponential,1015,0.03,0.7766666666666666,1.0
exponential,1016,0.03,0.8466666666666667,1.0
exponential,1017,0.03,0.8566666666666667,0.98
exponential,1018,0.03,0.8666666666666667,1.0
exponential,1019,0.03,0.7233333333333334,0.81
exponential,1000,0.1,0.69,1.0
exponential,1001,0.1,0.6933333333333334,1.0
exponential,1002,0.1,0.81,1.0
exponential,1003,0.1,0.5333333333333333,0.6
exponential,1004,0.1,0.7833333333333333,1.0
exponential,1005,0.1,0.27666666666666667,0.3
exponential,1006,0.1,0.42,0.61
exponential,1007,0.1,0.7633333333333333,1.0
exponential,1008,0.1,0.85,1.0
exponential,1009,0.1,0.81,1.0
exponential,1010,0.1,0.6333333333333333,0.97
exponential,1011,0.1,0.46,0.62
exponential,1012,0.1,0.5466666666666666,0.61
exponential,1013,0.1,0.95,1.0
exponential,1014,0.1,0.8333333333333334,1.0
exponential,1015,0.1,0.6,1.0
