cascade_depth,drive_amplitude,duration_s,linear_finite_pulse_peak_s,linear_impulse_peak_s,linear_numerical_peak_s,linear_peak_relative_error,physical_numerical_peak_s,physical_peak_occupancy_fraction,physical_peak_relative_departure,physical_small_signal_peak_s,rho_alpha_tau_leak,tau_leak_s,tau_r_s,v_max,v_max_shape_invariance,voltage_v
4,1.0,0.3,2.8371093893374337,2.684315962903373,2.83,0.0025058566173558625,3.14,0.03011746735655033,0.04666666666666671,3.0,0.1176031590391398,1.0,34.01269177360066,2.0,True,0.5
2,1.0,0.05,1.8146603907500019,1.7895439752689153,1.8,0.008078861931814495,2.02,0.0029074036613658235,0.010000000000000009,2.0,0.1176031590391398,2.0,34.01269177360066,0.5,True,0.5
2,1.0,0.05,1.8146603907500019,1.7895439752689153,1.8,0.008078861931814495,2.02,0.0029074036613658235,0.010000000000000009,2.0,0.1176031590391398,2.0,34.01269177360066,1.0,True,0.5
2,1.0,0.05,1.8146603907500019,1.7895439752689153,1.8,0.008078861931814495,2.02,0.0029074036613658235,0.010000000000000009,2.0,0.1176031590391398,2.0,34.01269177360066,2.0,True,0.5
2,1.0,0.3,1.9437330254048597,1.7895439752689153,1.93,0.007065283773731898,2.14,0.016282947791364685,0.07000000000000006,2.0,0.1176031590391398,2.0,34.01269177360066,0.5,True,0.5
2,1.0,0.3,1.9437330254048597,1.7895439752689153,1.93,0.007065283773731898,2.14,0.016282947791364685,0.07000000000000006,2.0,0.1176031590391398,2.0,34.01269177360066,1.0,True,0.5
2,1.0,0.3,1.9437330254048597,1.7895439752689153,1.93,0.007065283773731898,2.14,0.016282947791364685,0.07000000000000006,2.0,0.1176031590391398,2.0,34.01269177360066,2.0,True,0.5
3,1.0,0.05,3.4252515870770397,3.400190316217751,3.42,0.0015331974728084838,4.01,0.004358541889290727,0.0024999999999999467,4.0,0.1764047385587097,2.0,34.01269177360066,0.5,True,0.5
3,1.0,0.05,3.4252515870770397,3.400190316217751,3.42,0.0015331974728084838,4.01,0.004358541889290727,0.0024999999999999467,4.0,0.1764047385587097,2.0,34.01269177360066,1.0,True,0.5
3,1.0,0.05,3.4252515870770397,3.400190316217751,3.42,0.0015331974728084838,4.01,0.004358541889290727,0.0024999999999999467,4.0,0.1764047385587097,2.0,34.01269177360066,2.0,True,0.5
3,1.0,0.3,3.552395788973233,3.400190316217751,3.54,0.003489416638683704,4.14,0.024323018547486686,0.03499999999999992,4.0,0.1764047385587097,2.0,34.01269177360066,0.5,True,0.5
3,1.0,0.3,3.552395788973233,3.400190316217751,3.54,0.003489416638683704,4.14,0.024323018547486686,0.03499999999999992,4.0,0.1764047385587097,2.0,34.01269177360066,1.0,True,0.5
3,1.0,0.3,3.552395788973233,3.400190316217751,3.54,0.003489416638683704,4.14,0.024323018547486686,0.03499999999999992,4.0,0.1764047385587097,2.0,34.01269177360066,2.0,True,0.5
4,1.0,0.05,4.882530996229702,4.857488107197131,4.87,0.0025664959913984514,6.01,0.005807973063952617,0.0016666666666666312,6.0,0.2352063180782796,2.0,34.01269177360066,0.5,True,0.5
